id_requisito,tipo,prioridad_moscow,historia_usuario,caso_de_uso,modulo_codigo,endpoint_api,prueba_automatizada,tipo_acceso,evidencia_empirica,estado
REQ-F-001,funcional,Must,HU-001,CU-01,AuthController/AuthService,POST /api/auth/registro,AuthControllerTest,CRUD-ORM,,verificado
REQ-F-002,funcional,Must,HU-001,CU-01,GlobalExceptionHandler,POST /api/auth/registro (409),AuthControllerTest,CRUD-ORM,,verificado
REQ-F-003,funcional,Must,HU-002,CU-02,AuthController/JwtService,POST /api/auth/login,AuthControllerTest + JwtServiceTest,CRUD-ORM,,verificado
REQ-F-004,funcional,Must,HU-003,CU-03,AuthController/AuthService,POST /api/auth/refresh,AuthControllerTest,CRUD-ORM,,verificado
REQ-F-005,funcional,Must,HU-004,CU-04,AuthController/TokenBlacklistService,POST /api/auth/logout,AuthControllerTest,CRUD-ORM,,verificado
REQ-F-006,funcional,Must,HU-005,CU-05,SecurityConfig/MascotaController,@PreAuthorize en /api/mascotas/**,MascotaControllerTest,CRUD-ORM,"docs/mediciones/sec/A01-access-control.md (raw/A01-access-control.txt). El enunciado se amplio en la revision 2026-09-11 para incluir el aislamiento de datos por propietario: ConsultaService.listar() devuelve findAllByActivoTrue(pageable) tambien para ROLE_DUENO, por lo que el criterio de aislamiento no se cumple en GET /api/consultas. Ver REQ-NF-015.",implementado
REQ-F-007,funcional,Should,HU-006,CU-06,UsuarioController/AuthService,GET /api/usuarios/me,UsuarioControllerTest,CRUD-ORM,,verificado
REQ-F-008,funcional,Must,HU-007,CU-07,MascotaController/MascotaService,POST /api/mascotas,MascotaControllerTest,CRUD-ORM,,verificado
REQ-F-009,funcional,Must,HU-008,CU-08,MascotaController/MascotaService,GET /api/mascotas,MascotaControllerTest,CRUD-ORM,,verificado
REQ-F-010,funcional,Must,HU-009,CU-09,MascotaController/MascotaService,GET /api/mascotas/{id},MascotaControllerTest,CRUD-ORM,,verificado
REQ-F-011,funcional,Must,HU-010,CU-10,MascotaController/MascotaService,PUT /api/mascotas/{id},MascotaControllerTest,CRUD-ORM,,verificado
REQ-F-012,funcional,Must,HU-011,CU-11,MascotaController/MascotaService,DELETE /api/mascotas/{id},MascotaControllerTest,CRUD-ORM,,verificado
REQ-F-013,funcional,Should,HU-012,CU-12,ConsultaController/ConsultaService,GET /api/consultas; GET /api/consultas/{id}; POST /api/consultas; PUT /api/consultas/{id}; DELETE /api/consultas/{id},ConsultaControllerTest,CRUD-ORM,"Requisito con dos obligaciones, sin identificadores adicionales. Obligacion A (CRUD de consultas medicas): ConsultaControllerTest cubre GET/{id}, POST y DELETE; GET (listado) y PUT no tienen prueba dedicada; ademas ConsultaService.listar() no filtra por propietario para ROLE_DUENO, por lo que el criterio A6 de aislamiento FALLA. Obligacion B (historial clinico consolidado): fn_historial_clinico_mascota y ProcedimientoBiopetRepository.historialClinicoMascota existen y estan probados, pero ningun controlador los expone. El requisito no esta cumplido.",implementado
REQ-F-014,funcional,Could,HU-013,CU-13,,,,,,pendiente
REQ-F-015,funcional,Should,HU-014,CU-14,CitaController/CitaService,GET /api/citas; GET /api/citas/{id}; POST /api/citas; PUT /api/citas/{id}; DELETE /api/citas/{id},CitaControllerTest,CRUD-ORM,"Requisito con dos obligaciones, sin identificadores adicionales. Obligacion A (gestion de citas por API): cubierta y probada por CitaControllerTest en las 5 operaciones, incluido el filtrado por propietario para ROLE_DUENO y la regla de que ROLE_VETERINARIO solo actualiza sus propias citas; procedimiento asociado sp_actualizar_estado_citas_masivas. Obligacion B (calendario interactivo, RF-06): NO implementada, no existe componente en frontend/src/app/features/. El requisito no esta cumplido.",implementado
REQ-F-016,funcional,Could,HU-015,CU-15,,,,,,pendiente
REQ-F-017,funcional,Could,HU-016,CU-16,,,,,,pendiente
REQ-F-018,funcional,Should,HU-017,CU-17,,,,,,pendiente
REQ-F-019,funcional,Could,HU-018,CU-18,,,,,,pendiente
REQ-F-020,funcional,Should,HU-019,CU-19,AuthenticationAuditService,,AuthenticationAuditServiceTest,,"Cubierto parcialmente por REQ-NF-009: los eventos de autenticacion (login exitoso/fallido, rate limit, refresh, logout, token revocado) ya se registran y estan probados por AuthenticationAuditServiceTest (10 pruebas). Falta la auditoria generica de operaciones CRUD sobre mascotas, citas, consultas, vacunas y usuarios: no existe interceptor ni aspecto que la implemente.",implementado
REQ-F-021,funcional,Should,HU-020,CU-20,MascotaController/MascotaRepository,GET /api/mascotas/resumen-especies,ResumenEspeciesIntegrationTest,SP,,verificado
REQ-F-022,funcional,Could,HU-021,CU-21,,,,,,pendiente
REQ-F-023,funcional,Should,HU-022,CU-22,UsuarioController/UsuarioService,GET /api/usuarios; GET /api/usuarios/{id}; POST /api/usuarios; PUT /api/usuarios/{id}; DELETE /api/usuarios/{id},UsuarioControllerTest,CRUD-ORM,Incluye regla: ADMIN no puede escalar su propio rol; no incluye GET /api/usuarios/me (ese endpoint pertenece a REQ-F-007/HU-006/CU-06),verificado
REQ-F-024,funcional,Should,HU-023,CU-23,VacunaController/VacunaService,GET /api/vacunas; GET /api/vacunas/mascota/{mascotaId}; GET /api/vacunas/{id}; POST /api/vacunas; PUT /api/vacunas/{id}; DELETE /api/vacunas/{id},VacunaControllerTest,CRUD-ORM,VacunaControllerTest cubre 5 de 6 operaciones (no cubre GET /api/vacunas/mascota/{mascotaId}); colección Postman docs/postman/BIOPET-Vacunas.postman_collection.json (12 requests ejecutables con Newman),verificado
REQ-F-025,funcional,Could,HU-024,CU-24,ExternalApiController/ExternalApiService/ExternalApiClient,GET /api/externa/especies,ExternalApiServiceTest (6 pruebas en Backend/src/test/java/com/biopet/integration/),HTTP-EXTERNO,docs/u4/evidencias/fred/redis-cache-comparacion.md (comparacion real cache-miss vs cache-hit),verificado
REQ-F-026,funcional,Should,,,,,"Prevista: pruebas de controlador con MockMvc (respuesta uniforme para correo existente e inexistente, token de un solo uso, revocacion de sesiones previas, token usado/expirado, rate limit) - no implementada",,Requisito nuevo de la revision 2026-09-11. No existe implementacion: la busqueda de recuperar|reset|forgot|olvid sobre Backend/src y frontend/src no devuelve coincidencias. Hoy la unica via de restablecimiento es que un ROLE_ADMIN sobrescriba la contrasena via PUT /api/usuarios/{id}. Historia y caso de uso por crear.,pendiente
REQ-NF-001,no funcional,Must,,,Cache Redis (listado mascotas),GET /api/mascotas,"k6 v2.1.0 (10 corridas: 5 en frio + 5 en caliente; 2026-09-03, tag v1.0.0)",CRUD-ORM,docs/mediciones/perf/REPORT.md (p95 caliente maximo 15.06ms < 200ms; p95 frio maximo 18.56ms < 500ms; error 0.0% en todas las corridas),verificado
REQ-NF-002,no funcional,Must,,,SecurityConfig/TomcatDualConnectorConfig,N/A,SecurityHeadersTest.peticionHttpNoIncluyeHsts + AuthControllerTest.loginExitoso,seguridad,docs/mediciones/sec/A02-cryptography-tls.md (raw/A02-tls.txt: TLSv1.3 TLS_AES_256_GCM_SHA384),verificado
REQ-NF-003,no funcional,Must,,,JwtService,N/A,JwtServiceTest.tokenExpiradoEsRechazado,seguridad,application.yml: JWT_EXPIRATION_MS (default 3600000 = 1h) y JWT_REFRESH_EXPIRATION_MS (default 604800000 = 7d) configurables por variable de entorno,verificado
